file,class,method,variable,usage
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findIdentifierSymbol/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findIdentifierSymbol/1[java.lang.String],memorySegment,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setInitToNot/1[java.lang.String],symbols,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,print/0,Type,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,print/0,Token,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,print/0,LineNumber,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,changeTokenContent/0,Type,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,changeTokenContent/0,Token,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,initSymbols/0,Symbols,27
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,"setToken/3[java.lang.String,Token.TokenType,int]",Type,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,"setToken/3[java.lang.String,Token.TokenType,int]",Token,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,"setToken/3[java.lang.String,Token.TokenType,int]",LineNumber,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,Token/0,Token,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classCheck/0,Type,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classCheck/0,otherClassType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classCheck/0,className,6
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classCheck/0,textContent,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classCheck/0,lexer,13
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,symbolTables,17
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,Type,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,otherClassType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,functionArrayNumOfEle,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,arrayInitOrNot,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,eleNumberCounter,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,oldToken,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,className,13
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,lexer,27
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,classFieldVar,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,expressionReturnType,7
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,classArrayNumOfEle,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classVarDeclarCheck/0,symbolTables,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classVarDeclarCheck/0,Type,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classVarDeclarCheck/0,className,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classVarDeclarCheck/0,lexer,18
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classVarDeclarCheck/0,classArrayNumOfEle,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,parserAnalysis/0,subroutineKind,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,parserAnalysis/0,methodOrNot,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,parserAnalysis/0,constructorOrNot,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,parserAnalysis/0,functionName,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,parserAnalysis/0,lastFunctionName,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,parserAnalysis/0,textContent,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,parserAnalysis/0,className,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,parserAnalysis/0,lexer,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,symbolTables,76
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,Type,6
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,jackClasses,6
